Rank,Pos,Player,ByeWeek,Team,Tier,Salary,YearsPro,FantasyPoints
39,RB,David Montgomery,14,CHI,RB,4820000,3,193
40,WR,Mike Williams,8,LAC,WR,39000000,5,155
41,WR,Courtland Sutton,9,DEN,WR,45690000,4,132
42,WR,Terry McLaurin,14,WAS,WR,4760000,3,141
43,QB,Justin Herbert,8,LAC,QB,2000000,2,356
44,WR,Brandin Cooks,6,HOU,WR,37470000,8,148
45,RB,Cam Akers,7,LAR,RB,3730000,2,182
46,WR,Allen Robinson II,7,LAR,WR,26900000,8,126
47,QB,Patrick Mahomes II,8,KC,QB,227000000,5,372
48,TE,George Kittle,9,SF,TE,42800000,5,120
49,RB,AJ Dillon,14,GB,RB,,,144
50,QB,Lamar Jackson,10,BAL,QB,27520000,4,352
51,RB,J.K. Dobbins,10,BAL,RB,3630000,2,173
52,WR,DK Metcalf,11,SEA,WR,,,146
53,TE,Darren Waller,6,LV,TE,27800000,6,124
54,RB,Elijah Mitchell,9,SF,RB,3490000,1,178
55,RB,Josh Jacobs,6,LV,RB,2000000,3,177
56,WR,Marquise Brown,13,ARI,WR,13910000,3,133
57,WR,Darnell Mooney,14,CHI,WR,3300000,2,132
58,RB,Chase Edmonds,11,MIA,RB,6500000,4,120
59,WR,Rashod Bateman,10,BAL,WR,6080000,1,119
60,WR,Amon-Ra St. Brown,6,DET,WR,3490000,1,135
61,WR,Jerry Jeudy,9,DEN,WR,2000000,2,134
62,WR,Michael Thomas,14,NO,WR,41240000,6,132
